,CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup,ProductGroup,OpJourneys,OpMiles
225,2016,2016/P04,2016/W16,East Suburban,Commuter,69634,1182710
226,2016,2016/P04,2016/W16,eXpress,Commuter,30752,881675
227,2016,2016/P04,2016/W16,Inter7City,Commuter,28054,743304
228,2016,2016/P04,2016/W16,Scenic,Commuter,10392,192205
229,2016,2016/P04,2016/W16,West Suburban,Commuter,315675,3470765
230,2016,2016/P04,2016/W16,East Suburban,Off-Peak,65971,1311049
231,2016,2016/P04,2016/W16,eXpress,Off-Peak,46403,1750945
232,2016,2016/P04,2016/W16,Inter7City,Off-Peak,78390,5232378
233,2016,2016/P04,2016/W16,Scenic,Off-Peak,31564,1296841
234,2016,2016/P04,2016/W16,West Suburban,Off-Peak,494094,5192730
235,2016,2016/P04,2016/W16,East Suburban,Peak,66942,1264379
236,2016,2016/P04,2016/W16,eXpress,Peak,31090,1088410
237,2016,2016/P04,2016/W16,Inter7City,Peak,61101,3188370
238,2016,2016/P04,2016/W16,Scenic,Peak,21779,682812
239,2016,2016/P04,2016/W16,West Suburban,Peak,279692,3530534
240,2016,2016/P04,2016/W17,East Suburban,Commuter,68244,1163354
241,2016,2016/P04,2016/W17,eXpress,Commuter,30560,892896
242,2016,2016/P04,2016/W17,Inter7City,Commuter,27420,732869
243,2016,2016/P04,2016/W17,Scenic,Commuter,9814,177426
244,2016,2016/P04,2016/W17,West Suburban,Commuter,304368,3342728
245,2016,2016/P04,2016/W17,East Suburban,Off-Peak,69212,1371164
246,2016,2016/P04,2016/W17,eXpress,Off-Peak,44355,1650991
247,2016,2016/P04,2016/W17,Inter7City,Off-Peak,81157,5473590
248,2016,2016/P04,2016/W17,Scenic,Off-Peak,35053,1571987
249,2016,2016/P04,2016/W17,West Suburban,Off-Peak,468216,5006430
250,2016,2016/P04,2016/W17,East Suburban,Peak,68166,1285029
251,2016,2016/P04,2016/W17,eXpress,Peak,29968,1042908
252,2016,2016/P04,2016/W17,Inter7City,Peak,60949,3172026
253,2016,2016/P04,2016/W17,Scenic,Peak,22445,732463
254,2016,2016/P04,2016/W17,West Suburban,Peak,280208,3532446
255,2016,2016/P05,2016/W18,East Suburban,Commuter,59612,1015572
256,2016,2016/P05,2016/W18,eXpress,Commuter,26758,776608
257,2016,2016/P05,2016/W18,Inter7City,Commuter,24051,638069
258,2016,2016/P05,2016/W18,Scenic,Commuter,8825,160483
259,2016,2016/P05,2016/W18,West Suburban,Commuter,268614,2935142
260,2016,2016/P05,2016/W18,East Suburban,Off-Peak,77698,1539309
261,2016,2016/P05,2016/W18,eXpress,Off-Peak,49376,1843994
262,2016,2016/P05,2016/W18,Inter7City,Off-Peak,84847,5431076
263,2016,2016/P05,2016/W18,Scenic,Off-Peak,34955,1492083
