,dt,device_type,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,is_marked_as_eco_option,currency,amount,unit,operating_carrier,booking_type,latitude_deg_origin,longitude_deg_origin,iso_country_origin,iata_code_origin,latitude_deg_dest,longitude_deg_dest,iso_country_dest,iata_code_dest,distance_miles,distance_km,CO2_emissions,CO2_emissions_per_passenger
54,2019-06-05,IOS,LHR,EDI,LOND-EDI,3.0,0.0,ECONOMY,return,2019-07-30 00:00:00,2019-02-08 00:00:00,False,GBP,19300.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
55,2019-06-05,IOS,LHR,EDI,LOND-EDI,3.0,0.0,ECONOMY,return,2019-07-30 00:00:00,2019-02-08 00:00:00,False,GBP,19300.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
56,2022-02-05,IOS,LHR,EDI,LOND-EDI,7.0,3.0,ECONOMY,oneway,2022-07-20 00:00:00,,False,GBP,47500.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
57,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-08-05 00:00:00,,False,GBP,6100.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
58,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-08-05 00:00:00,,False,GBP,6100.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
59,2021-03-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,return,2021-11-05 00:00:00,2021-05-13 00:00:00,False,GBP,27700.0,CENTI,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
60,2021-03-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,return,2021-11-05 00:00:00,2021-05-13 00:00:00,False,GBP,27700.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
61,2021-03-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,return,2021-11-05 00:00:00,2021-05-13 00:00:00,False,GBP,27700.0,CENTI,-32480,BOOK_WITH_SKYSCANNER,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
62,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-07-05 00:00:00,,False,GBP,8600.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
63,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-07-05 00:00:00,,False,GBP,8600.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
