dt,device_type,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,is_marked_as_eco_option,currency,amount,unit,operating_carrier,booking_type,latitude_deg_origin,longitude_deg_origin,iso_country_origin,iata_code_origin,latitude_deg_dest,longitude_deg_dest,iso_country_dest,iata_code_dest,distance_miles
2022-02-05,IOS,CTA,EDI,CTA-EDI,1.0,0.0,ECONOMY,return,2022-05-25,2022-01-06,TRUE,GBP,14300.0,CENTI,-30823,BOOK_WITH_SKYSCANNER,37.466801,15.0664,IT,CTA,55.950145,-3.372288,GB,EDI,1536.6941347147224
2022-02-05,IOS,MAD,EDI,MAD-EDI,1.0,0.0,ECONOMY,oneway,2022-05-19,,TRUE,GBP,18400.0,CENTI,-32356,REDIRECT,40.471926,-3.56264,ES,MAD,55.950145,-3.372288,GB,EDI,1069.477948052156
2022-02-05,IOS,MAD,EDI,MAD-EDI,2.0,1.0,ECONOMY,return,2022-07-17,2022-07-22,TRUE,EUR,57600.0,CENTI,-31915,REDIRECT,40.471926,-3.56264,ES,MAD,55.950145,-3.372288,GB,EDI,1069.477948052156
2022-02-05,IOS,BER,EDI,BER-EDI,1.0,0.0,ECONOMY,mutli_city,2022-05-19,2022-05-22,TRUE,EUR,7500.0,CENTI,-31915,REDIRECT,52.362247,13.500672,DE,BER,55.950145,-3.372288,GB,EDI,724.0547377166408
2022-02-05,IOS,BER,EDI,BER-EDI,1.0,0.0,ECONOMY,return,2022-10-17,2022-10-24,TRUE,EUR,7000.0,CENTI,-32356,REDIRECT,52.362247,13.500672,DE,BER,55.950145,-3.372288,GB,EDI,724.0547377166408
2022-02-05,IOS,BER,EDI,BER-EDI,1.0,0.0,ECONOMY,return,2022-10-17,2022-10-24,TRUE,EUR,7000.0,CENTI,-32356,DIRECT_BOOKING,52.362247,13.500672,DE,BER,55.950145,-3.372288,GB,EDI,724.0547377166408
2022-02-05,IOS,BER,EDI,BER-EDI,6.0,2.0,ECONOMY,return,2022-10-06,2022-06-15,TRUE,EUR,89900.0,CENTI,-32356,REDIRECT,52.362247,13.500672,DE,BER,55.950145,-3.372288,GB,EDI,724.0547377166408
2022-02-05,IOS,DUB,EDI,DUB-EDI,2.0,0.0,ECONOMY,mutli_city,2022-07-06,2022-06-14,TRUE,EUR,35300.0,CENTI,-31915,REDIRECT,53.421299,-6.27007,IE,DUB,55.950145,-3.372288,GB,EDI,209.54141523281115
2022-02-05,IOS,DUB,EDI,DUB-EDI,2.0,0.0,ECONOMY,mutli_city,2022-07-06,2022-06-14,TRUE,EUR,33800.0,CENTI,-31915,REDIRECT,53.421299,-6.27007,IE,DUB,55.950145,-3.372288,GB,EDI,209.54141523281115
2022-02-05,IOS,DUB,EDI,DUB-EDI,1.0,0.0,ECONOMY,oneway,2022-06-14,,TRUE,EUR,4700.0,CENTI,-32753,REDIRECT,53.421299,-6.27007,IE,DUB,55.950145,-3.372288,GB,EDI,209.54141523281115
2022-02-05,IOS,DUB,EDI,DUB-EDI,1.0,0.0,ECONOMY,oneway,2022-06-14,,TRUE,EUR,4700.0,CENTI,-32753,BOOK_WITH_SKYSCANNER,53.421299,-6.27007,IE,DUB,55.950145,-3.372288,GB,EDI,209.54141523281115
2022-02-05,IOS,GVA,EDI,GVA-EDI,1.0,0.0,ECONOMY,return,2022-08-07,2022-07-31,TRUE,CHF,48500.0,CENTI,-32356,REDIRECT,46.23809814453125,6.108950138092041,CH,GVA,55.950145,-3.372288,GB,EDI,785.5279866503039
2022-02-05,IOS,OTP,EDI,OTP-EDI,1.0,0.0,ECONOMY,return,2022-01-07,2022-07-22,TRUE,GBP,13800.0,CENTI,-31915,DIRECT_BOOKING,44.571111,26.085,RO,OTP,55.950145,-3.372288,GB,EDI,1503.1153771686265
2022-02-05,IOS,OTP,EDI,OTP-EDI,1.0,0.0,ECONOMY,return,2022-01-07,2022-07-22,TRUE,GBP,13800.0,CENTI,-31915,REDIRECT,44.571111,26.085,RO,OTP,55.950145,-3.372288,GB,EDI,1503.1153771686265
2020-04-05,IOS,OTP,EDI,OTP-EDI,1.0,0.0,ECONOMY,return,2020-03-07,2020-07-29,TRUE,GBP,11500.0,CENTI,-31669,REDIRECT,44.571111,26.085,RO,OTP,55.950145,-3.372288,GB,EDI,1503.1153771686265
2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-05-27,2022-05-30,TRUE,GBP,13300.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-05-27,2022-05-30,TRUE,GBP,13300.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,3.0,0.0,ECONOMY,oneway,2022-04-05,,TRUE,GBP,20700.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,3.0,0.0,ECONOMY,oneway,2022-04-05,,TRUE,GBP,20700.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,2.0,2.0,ECONOMY,oneway,2022-10-07,,TRUE,GBP,13400.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,2.0,2.0,ECONOMY,oneway,2022-10-07,,TRUE,GBP,13400.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,oneway,2022-05-26,,TRUE,GBP,2900.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,oneway,2022-05-26,,TRUE,GBP,2900.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-05-20,2022-05-22,TRUE,GBP,16900.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-05-20,2022-05-22,TRUE,GBP,16900.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,oneway,2022-04-05,,TRUE,GBP,7800.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,oneway,2022-04-05,,TRUE,GBP,7800.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,2.0,0.0,ECONOMY,return,2022-06-05,2022-08-05,TRUE,GBP,42200.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,2.0,0.0,ECONOMY,return,2022-06-05,2022-08-05,TRUE,GBP,42200.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,4.0,0.0,ECONOMY,return,2022-12-11,2022-11-13,TRUE,GBP,32000.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,4.0,0.0,ECONOMY,return,2022-12-11,2022-11-13,TRUE,GBP,32000.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-09-06,2022-06-14,TRUE,GBP,7300.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-09-06,2022-06-14,TRUE,GBP,7300.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-05-27,2022-05-30,TRUE,GBP,12600.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-05-27,2022-05-30,TRUE,GBP,12600.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,oneway,2022-09-05,,TRUE,GBP,4300.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,GB,EDI,356.48157409436004
