,dt,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,currency,amount,unit,operating_carrier,booking_type,iso_country_origin,CO2_emissions,CO2_per_flight,CO2_emissions_per_passenger
69,05/02/2022,BER,EDI,BER-EDI,6,2,ECONOMY,return,06/10/2022,15/06/2022,EUR,89900,CENTI,-32356,REDIRECT,Germany,8543.845874,,46.18295067
70,05/02/2022,DUB,EDI,DUB-EDI,2,0,ECONOMY,mutli_city,06/07/2022,14/06/2022,EUR,35300,CENTI,-31915,REDIRECT,Ireland,2472.588691,,13.36534427
71,05/02/2022,DUB,EDI,DUB-EDI,2,0,ECONOMY,mutli_city,06/07/2022,14/06/2022,EUR,33800,CENTI,-31915,REDIRECT,Ireland,2472.588691,,13.36534427
72,05/02/2022,DUB,EDI,DUB-EDI,1,0,ECONOMY,oneway,14/06/2022,,EUR,4700,CENTI,-32753,REDIRECT,Ireland,2472.588691,,13.36534427
73,05/02/2022,DUB,EDI,DUB-EDI,1,0,ECONOMY,oneway,14/06/2022,,EUR,4700,CENTI,-32753,BOOK_WITH_SKYSCANNER,Ireland,2472.588691,,13.36534427
74,05/02/2022,GVA,EDI,GVA-EDI,1,0,ECONOMY,return,07/08/2022,31/07/2022,CHF,48500,CENTI,-32356,REDIRECT,Switzerland,9269.230209,3050.408976,50.10394708
75,05/02/2022,OTP,EDI,OTP-EDI,1,0,ECONOMY,return,07/01/2022,22/07/2022,GBP,13800,CENTI,-31915,DIRECT_BOOKING,Romania,17736.76139,,95.87438587
76,05/02/2022,OTP,EDI,OTP-EDI,1,0,ECONOMY,return,07/01/2022,22/07/2022,GBP,13800,CENTI,-31915,REDIRECT,Romania,17736.76139,,95.87438587
77,05/04/2020,OTP,EDI,OTP-EDI,1,0,ECONOMY,return,07/03/2020,29/07/2020,GBP,11500,CENTI,-31669,REDIRECT,Romania,17736.76139,,95.87438587
78,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,return,27/05/2022,30/05/2022,GBP,13300,CENTI,-32356,REDIRECT,UK,3956.945458,,27.86581309
79,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,return,27/05/2022,30/05/2022,GBP,13300,CENTI,-32356,DIRECT_BOOKING,UK,3956.945458,,27.86581309
80,05/02/2022,LGW,EDI,LGW-EDI,3,0,ECONOMY,oneway,05/04/2022,,GBP,20700,CENTI,-32356,REDIRECT,UK,3956.945458,,27.86581309
